// airport_timetable.txt

// Format: GREEK_NAME;ENGLISH_NAME;time1;time2;...

ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ;Dimotiko Theatro;05:30;06:06;06:42;07:18;07:54;08:30;09:06;09:42;10:18;10:54;11:30;12:06;12:42;13:18;13:54;14:30;15:06;15:42;16:18;16:54;17:30;18:06;18:42;19:18;19:54;20:30;21:06;21:42;22:18;22:54
ΠΕΙΡΑΙΑΣ;Piraeus;05:31;06:07;06:43;07:19;07:55;08:31;09:07;09:43;10:19;10:55;11:31;12:07;12:43;13:19;13:55;14:31;15:07;15:43;16:19;16:55;17:31;18:07;18:43;19:19;19:55;20:31;21:07;21:43;22:19;22:55
ΜΑΝΙΑΤΙΚΑ;Maniatika;05:33;06:09;06:45;07:21;07:57;08:33;09:09;09:45;10:21;10:57;11:33;12:09;12:45;13:21;13:57;14:33;15:09;15:45;16:21;16:57;17:33;18:09;18:45;19:21;19:57;20:33;21:09;21:45;22:21;22:57
ΝΙΚΑΙΑ;Nikaia;05:35;06:11;06:47;07:23;07:59;08:35;09:11;09:47;10:23;10:59;11:35;12:11;12:47;13:23;13:59;14:35;15:11;15:47;16:23;16:59;17:35;18:11;18:47;19:23;19:59;20:35;21:11;21:47;22:23;22:59
ΚΟΡΥΔΑΛΛΟΣ;Korydallos;05:37;06:13;06:49;07:25;08:01;08:37;09:13;09:49;10:25;11:01;11:37;12:13;12:49;13:25;14:01;14:37;15:13;15:49;16:25;17:01;17:37;18:13;18:49;19:25;20:01;20:37;21:13;21:49;22:25;23:01
ΑΓΙΑ ΒΑΡΒΑΡΑ;Agia Varvara;05:39;06:16;06:52;07:28;08:04;08:40;09:16;09:52;10:28;11:04;11:40;12:16;12:52;13:28;14:04;14:40;15:16;15:52;16:28;17:04;17:40;18:16;18:52;19:28;20:04;20:40;21:16;21:52;22:28;23:04
ΑΓΙΑ ΜΑΡΙΝΑ;Agia Marina;05:41;06:18;06:54;07:30;08:06;08:42;09:18;09:54;10:30;11:06;11:42;12:18;12:54;13:30;14:06;14:42;15:18;15:54;16:30;17:06;17:42;18:18;18:54;19:30;20:06;20:42;21:18;21:54;22:30;23:06
ΑΙΓΑΛΕΩ;Aigaleo;05:43;06:20;06:56;07:32;08:08;08:44;09:20;09:56;10:32;11:08;11:44;12:20;12:56;13:32;14:08;14:44;15:20;15:56;16:32;17:08;17:44;18:20;18:56;19:32;20:08;20:44;21:20;21:56;22:32;23:08
ΕΛΑΙΩΝΑΣ;Elaionas;05:46;06:22;06:58;07:34;08:10;08:46;09:22;09:58;10:34;11:10;11:46;12:22;12:58;13:34;14:10;14:46;15:22;15:58;16:34;17:10;17:46;18:22;18:58;19:34;20:10;20:46;21:22;21:58;22:34;23:10
ΚΕΡΑΜΕΙΚΟΣ;Kerameikos;05:49;06:25;07:01;07:37;08:13;08:49;09:25;10:01;10:37;11:13;11:49;12:25;13:01;13:37;14:13;14:49;15:25;16:01;16:37;17:13;17:49;18:25;19:01;19:37;20:13;20:49;21:25;22:01;22:37;23:13
